Title,Link,Classifications,IMDb Rating,Budget,Gross US & Canada,Opening Weekend US & Canada,Opening Weekend Date,Gross Worldwide,Runtime,Color,Sound mix,Aspect ratio,
Into the Wild,https://www.imdb.com/title/tt0758758/?ref_=chttp_t_236,R,8.1,15000000,18354356,212440,9/23/2007,56676733,2 hours 28 minutes,Color,DTS,2.39 : 1,
To Be or Not to Be,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_237,Approved,8.1,,3270000,,,4578000,1 hours 39 minutes,Black and White,,1.37 : 1,
The Battle of Algiers,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_238,Not Rated,8.1,800000,879794,64870,1/11/2004,962002,2 hours 1 minute,Black and White,Mono,1.85 : 1,
The Grapes of Wrath,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_239,Approved,8.1,800000,,,,7304,2 hours 9 minutes,Black and White,,1.37 : 1,
Groundhog Day,https://www.imdb.com/title/tt0107048/?ref_=chttp_t_240,PG,8.0,14600000,71107962,12517672,2/14/1993,71108778,1 hours 41 minutes,Color,Dolby Stereo,1.85 : 1,
Amores Perros,https://www.imdb.com/title/tt0245712/?ref_=chttp_t_241,R,8.1,2000000,5408467,61047,4/1/2001,20908467,2 hours 34 minutes,Color,Dolby Digital,1.85 : 1,
The Iron Giant,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_242,PG,8.1,70000000,23315035,5732614,8/8/1999,23336504,1 hours 26 minutes,,Dolby Digital,2.39 : 1,
Rebecca,https://www.imdb.com/title/tt0032976/?ref_=chttp_t_243,Approved,8.1,1288000,,,,112282,2 hours 10 minutes,Black and White,,1.37 : 1,
Cool Hand Luke,https://www.imdb.com/title/tt0061512/?ref_=chttp_t_244,Approved,8.1,3200000,,,,1767,2 hours 7 minutes,,Mono,2.35 : 1,
The Help,https://www.imdb.com/title/tt1454029/?ref_=chttp_t_245,PG-13,8.1,25000000,169708112,26044590,8/14/2011,221802186,2 hours 26 minutes,Color,Dolby Digital,1.85 : 1,
It Happened One Night,https://www.imdb.com/title/tt0025316/?ref_=chttp_t_246,Approved,8.1,,,,,,,,,,
Drishyam,https://www.imdb.com/title/tt4430212/?ref_=chttp_t_247,Not Rated,8.2,9400000,,,,,2 hours 43 minutes,Color,Dolby Digital,2.35 : 1,
Dances with Wolves,https://www.imdb.com/title/tt0099348/?ref_=chttp_t_248,PG-13,8.0,22000000,184208848,598257,11/11/1990,424208848,3 hours 1 minute,Color,,2.39 : 1,
Aladdin,https://www.imdb.com/title/tt0103639/?ref_=chttp_t_249,G,8.0,28000000,217350219,196664,11/15/1992,504050219,1 hours 30 minutes,Color,Dolby Stereo,1.78 : 1,
Scent of a Woman,https://www.imdb.com/title/tt0105323/?ref_=chttp_t_250,R,8.0,31000000,63095253,357468,12/27/1992,134095253,2 hours 36 minutes,Color,Dolby Stereo,1.85 : 1,
