Title,Link,Classifications,IMDb Rating,Budget,Gross US & Canada,Opening Weekend US & Canada,Opening Weekend Date,Gross Worldwide,Runtime,Color,Sound mix,Aspect ratio,
Toy Story 3,https://www.imdb.com/title/tt0435761/?ref_=chttp_t_92,G,8.3,200000000,415004880,110307189,6/20/2010,1067316101,1 hours 43 minutes,Color,SDDS,1.78 : 1,
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/?ref_=chttp_t_93,PG,8.3,32500000,316566101,23019618,5/29/1983,475106177,2 hours 11 minutes,Color,Dolby Stereo,2.39 : 1,
Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/?ref_=chttp_t_94,R,8.3,20000000,34400301,8175198,3/21/2004,73393152,1 hours 48 minutes,Color,DTS,1.85 : 1,
The Hunt,https://www.imdb.com/title/tt2106476/?ref_=chttp_t_95,R,8.3,20000000,613308,43045,7/14/2013,15886373,1 hours 55 minutes,Color,Dolby Digital,2.35 : 1,
2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/?ref_=chttp_t_96,G,8.3,12000000,60481243,202759,5/20/2018,66704509,2 hours 29 minutes,Color,Dolby Digital,2.20 : 1,
Reservoir Dogs,https://www.imdb.com/title/tt0105236/?ref_=chttp_t_97,R,8.3,1200000,2832029,147839,10/25/1992,2930208,1 hours 39 minutes,Color,Dolby Stereo,2.35 : 1,
Ikiru,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_98,Not Rated,8.3,,60239,2149,12/29/2002,96302,2 hours 23 minutes,Black and White,Mono,1.37 : 1,
Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=chttp_t_99,R,8.3,100000000,329862540,82455420,7/23/2023,975134850,3 hours,Color,IMAX 6-Track,,
Lawrence of Arabia,https://www.imdb.com/title/tt0056172/?ref_=chttp_t_100,PG,8.3,15000000,45306425,20846,9/22/2002,45752380,3 hours 38 minutes,Color,Dolby Atmos,,
The Apartment,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_101,Approved,8.3,3000000,18600000,,,18778738,2 hours 5 minutes,Black and White,,2.35 : 1,
Incendies,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_102,R,8.3,6800000,2071334,50679,4/24/2011,6797861,2 hours 11 minutes,Color,Dolby Digital,1.85 : 1,
North by Northwest,https://www.imdb.com/title/tt0053125/?ref_=chttp_t_103,Approved,8.3,3101000,66728,,,151076,2 hours 16 minutes,,Dolby SR,1.50 : 1,
Citizen Kane,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_104,PG,8.3,839727,1627530,,,1703358,1 hours 59 minutes,Black and White,,1.37 : 1,
M,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_105,Passed,8.3,,35566,6123,3/17/2013,35566,1 hours 39 minutes,Black and White,Mono,1.19 : 1,
Scarface,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_106,R,8.3,50000000,45967303,4597536,12/11/1983,66443303,2 hours 50 minutes,Color,4-Track Stereo,2.39 : 1,
Double Indemnity,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_107,Approved,8.3,927262,,,,19477,1 hours 47 minutes,Black and White,,1.33 : 1,
Vertigo,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_108,PG,8.3,2479000,7705225,252880,3/18/2018,7808250,2 hours 8 minutes,Color,,1.85 : 1,
Full Metal Jacket,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_109,R,8.3,30000000,46357676,2217307,6/28/1987,50187505,1 hours 56 minutes,Color,Mono,,
Am̩lie,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_110,R,8.3,10000000,33712444,136470,11/4/2001,174926751,2 hours 2 minutes,Color,DTS,2.39 : 1,
Heat,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_111,R,8.3,60000000,67436818,8445656,12/17/1995,187436818,2 hours 50 minutes,Color,Dolby Digital,2.39 : 1,
Up,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_112,PG,8.3,175000000,293004164,68108790,5/31/2009,735102136,1 hours 36 minutes,Color,SDDS,1.85 : 1,
A Clockwork Orange,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_113,R,8.3,2200000,26617553,,,27033812,2 hours 16 minutes,Color,Mono,1.66 : 1,
To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_114,Approved,8.3,2000000,592237,357549,3/24/2019,599146,2 hours 9 minutes,Black and White,Dolby Digital,1.85 : 1,
A Separation,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_115,PG-13,8.3,500000,7099055,59481,1/1/2012,22926076,2 hours 3 minutes,Color,Dolby Digital,1.85 : 1,
The Sting,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_116,PG,8.3,5500000,156000000,,,156000000,2 hours 9 minutes,Color,,1.85 : 1,
Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_117,PG-13,8.2,48000000,197171806,29355021,5/28/1989,474171806,2 hours 7 minutes,Color,Dolby Atmos,2.39 : 1,
Die Hard,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_118,R,8.2,28000000,85892546,601851,7/17/1988,143651650,2 hours 12 minutes,Color,,2.39 : 1,
Like Stars on Earth,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_119,PG,8.3,,1223869,352568,12/23/2007,21897373,2 hours 42 minutes,Color,DTS,2.35 : 1,
Metropolis,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_120,Not Rated,8.3,6000000,1236166,19386,7/14/2002,1350322,2 hours 33 minutes,,Silent,1.33 : 1,
Snatch,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_121,R,8.2,6000000,30328156,27932,12/10/2000,83557872,1 hours 42 minutes,Color,Dolby Digital,1.85 : 1,
1917,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_122,R,8.2,95000000,159227644,576216,12/29/2019,390411425,1 hours 59 minutes,Color,Dolby Atmos,2.39 : 1,
L.A. Confidential,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_123,R,8.2,35000000,64616940,5211198,9/21/1997,126216940,2 hours 18 minutes,Color,Dolby Digital,2.39 : 1,
Hamilton,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_124,PG-13,8.3,,,,,,2 hours 40 minutes,Color,Dolby Atmos,1.85 : 1,
Bicycle Thieves,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_125,Not Rated,8.3,133000,371111,25377,10/4/1998,450159,1 hours 29 minutes,Black and White,Mono,1.37 : 1,
Taxi Driver,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_126,R,8.2,1300000,28262574,116458,2/19/1996,28579636,1 hours 54 minutes,,Mono,1.85 : 1,
Downfall,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_127,R,8.2,13500000,5509040,18195,2/20/2005,92181574,2 hours 36 minutes,Color,Dolby Digital,1.85 : 1,
Dangal,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_128,Not Rated,8.3,700000000,12391761,3248481,12/25/2016,303723636,2 hours 41 minutes,Color,Dolby Atmos,2.35 : 1,
For a Few Dollars More,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_129,R,8.2,600000,15000000,,,15000000,2 hours 12 minutes,Color,Mono,2.35 : 1,
Batman Begins,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_130,PG-13,8.2,150000000,206863479,48745440,6/19/2005,375325692,2 hours 20 minutes,Color,DTS,2.39 : 1,
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_131,R,8.2,100000000,116900694,18361578,12/29/2013,407039432,3 hours,Color,Datasat,2.39 : 1,
Some Like It Hot,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_132,Approved,8.2,2883848,,,,200714,2 hours 1 minute,Black and White,,1.85 : 1,
Green Book,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_133,PG-13,8.2,23000000,85080171,320429,11/18/2018,321752656,2 hours 10 minutes,Color,Dolby Surround 7.1,2.00 : 1,
The Kid,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_134,Passed,8.2,250000,,,,41979,1 hours 8 minutes,,Silent,1.33 : 1,
The Father,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_135,PG-13,8.2,6000000,2122771,,,24048935,1 hours 37 minutes,Color,Dolby Digital,2.39 : 1,
Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_136,Approved,8.3,3000000,,,,12180,2 hours 59 minutes,Black and White,,1.85 : 1,
The Truman Show,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_137,PG,8.2,60000000,125618201,31542121,6/7/1998,264118712,1 hours 43 minutes,Color,DTS,1.66 : 1,
All About Eve,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_138,Approved,8.2,1400000,63463,10177,10/8/2000,154501,2 hours 18 minutes,Black and White,,1.37 : 1,
Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_139,R,8.2,80000000,128012934,41062440,2/21/2010,294937186,2 hours 18 minutes,Color,SDDS,2.39 : 1,
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_140,PG-13,8.2,170000000,718732821,126707459,5/29/2022,1495696292,2 hours 10 minutes,Color,Dolby Atmos,2.39 : 1,
There Will Be Blood,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_141,R,8.2,25000000,40222514,190739,12/30/2007,76186224,2 hours 38 minutes,Color,SDDS,2.39 : 1,
Casino,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_142,R,8.2,52000000,42512375,9946480,11/26/1995,116112375,2 hours 58 minutes,Color,DTS-Stereo,2.39 : 1,
Jurassic Park,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_143,PG-13,8.2,63000000,407185075,47026828,6/13/1993,1103086582,2 hours 7 minutes,Color,DTS,1.85 : 1,
Ran,https://www.imdb.com/title/tt0089881/?ref_=chttp_t_144,R,8.2,11500000,4135750,3567,7/2/2000,4166319,2 hours 40 minutes,Color,,1.85 : 1,
The Sixth Sense,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_145,PG-13,8.2,40000000,293506292,26681262,8/8/1999,672806432,1 hours 47 minutes,Color,DTS,1.85 : 1,
Pan's Labyrinth,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_146,R,8.2,19000000,37646380,568641,12/31/2006,83863565,1 hours 58 minutes,Color,DTS,1.85 : 1,
Unforgiven,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_147,R,8.2,14400000,101167799,15018007,8/9/1992,159167799,2 hours 10 minutes,Color,,2.39 : 1,
No Country for Old Men,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_148,R,8.2,25000000,74283625,1202000,11/11/2007,171632777,2 hours 2 minutes,Color,SDDS,2.39 : 1,
A Beautiful Mind,https://www.imdb.com/title/tt0268978/?ref_=chttp_t_149,PG-13,8.2,58000000,170742341,367151,12/23/2001,316791257,2 hours 15 minutes,Color,DTS,1.85 : 1,
The Thing,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_150,R,8.2,15000000,19857465,3107897,6/27/1982,19872469,1 hours 49 minutes,Color,,2.39 : 1,
Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/?ref_=chttp_t_151,R,8.2,30000000,70099045,22200000,10/12/2003,180908413,1 hours 51 minutes,Color,DTS,2.39 : 1,
The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_152,Approved,8.2,3000000,5014000,144074,1/14/2018,5014000,2 hours 6 minutes,Black and White,,1.37 : 1,
Yojimbo,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_153,Not Rated,8.2,,46808,15942,7/28/2002,46808,1 hours 50 minutes,Black and White,,2.35 : 1,
Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_154,PG,8.2,229575,2562392,45487,6/17/2001,2817496,1 hours 31 minutes,,Mono,1.85 : 1,
The Great Escape,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_155,Approved,8.2,4000000,,,,230637,2 hours 52 minutes,Color,,2.35 : 1,
Finding Nemo,https://www.imdb.com/title/tt0266543/?ref_=chttp_t_156,G,8.2,94000000,380843261,70251710,6/1/2003,941637960,1 hours 40 minutes,Color,Dolby Digital,,
Prisoners,https://www.imdb.com/title/tt1392214/?ref_=chttp_t_157,R,8.2,46000000,61002302,20817053,9/22/2013,122127446,2 hours 33 minutes,,SDDS,1.85 : 1,
Howl's Moving Castle,https://www.imdb.com/title/tt0347149/?ref_=chttp_t_158,PG,8.2,24000000,6789268,427987,6/12/2005,237731798,1 hours 59 minutes,Color,Dolby Digital EX,1.85 : 1,
Rashomon,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_159,Not Rated,8.2,250000,46808,15942,7/28/2002,117668,1 hours 28 minutes,Black and White,,1.37 : 1,
The Elephant Man,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160,PG,8.2,5000000,26010864,,,26028672,2 hours 4 minutes,Black and White,Dolby Stereo,2.35 : 1,
Dial M for Murder,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_161,PG,8.2,1400000,24845,12562,4/11/1999,43308,1 hours 45 minutes,Color,,1.66 : 1,
Chinatown,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_162,R,8.1,6000000,29200000,,,29231506,2 hours 10 minutes,,Mono,2.35 : 1,
Gone with the Wind,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_163,G,8.2,3977000,200882193,1192593,6/28/1998,402382193,3 hours 58 minutes,,Magnaphone Western Electric,1.33 : 1,
Lock Stock and Two Smoking Barrels,https://www.imdb.com/title/tt0120735/?ref_=chttp_t_164,R,8.1,960000,3753929,143321,3/7/1999,3753929,1 hours 47 minutes,Color,Dolby Digital,1.85 : 1
V for Vendetta,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_165,R,8.2,54000000,70511035,25642340,3/19/2006,134686457,2 hours 12 minutes,Color,DTS,2.35 : 1,
The Secret in Their Eyes,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_166,R,8.2,2000000,6391436,167866,4/18/2010,35079650,2 hours 9 minutes,Color,Dolby Digital,2.35 : 1,
Inside Out,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_167,PG,8.1,175000000,356921711,90440272,6/21/2015,858852998,1 hours 35 minutes,Color,Dolby Digital,1.78 : 1,
Raging Bull,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_168,R,8.1,18000000,23383987,128590,11/16/1980,23405198,2 hours 9 minutes,Black and White,Dolby Stereo,1.85 : 1,
Three Billboards Outside Ebbing Missouri,https://www.imdb.com/title/tt5027774/?ref_=chttp_t_169,R,8.1,15000000,54513740,322168,11/12/2017,162729321,1 hours 55 minutes,Color,Dolby Digital,2.35 : 1
Trainspotting,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_170,R,8.1,1500000,16491080,262673,7/21/1996,16970564,1 hours 33 minutes,Color,Dolby SR,1.85 : 1,
The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_171,PG,8.1,3000000,27200000,,,27200463,2 hours 41 minutes,,Dolby Atmos,2.55 : 1,
Klaus,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_172,PG,8.2,40000000,,,,,1 hours 36 minutes,Color,Dolby Atmos,1.85 : 1,
Fargo,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_173,R,8.1,7000000,24611975,730265,3/10/1996,60611975,1 hours 38 minutes,Color,Dolby SR,1.85 : 1,
Catch Me If You Can,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_174,PG-13,8.1,52000000,164615351,30053627,12/29/2002,352114312,2 hours 21 minutes,Color,DTS,1.85 : 1,
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_175,PG-13,8.2,200000000,814866759,260138569,12/19/2021,1922598800,2 hours 28 minutes,Color,Dolby Atmos,,
Warrior,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_176,PG-13,8.1,25000000,13657115,5242107,9/11/2011,23308615,2 hours 20 minutes,Color,Dolby Digital,2.35 : 1,
Gran Torino,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_177,R,8.1,33000000,148095302,271720,12/14/2008,269958228,1 hours 56 minutes,Color,DTS,2.39 : 1,
Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_178,PG-13,8.1,125000000,381447587,169189427,7/17/2011,1342480797,2 hours 10 minutes,Color,Dolby Digital,2.39 : 1,
Million Dollar Baby,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_179,PG-13,8.1,30000000,100492203,179953,12/19/2004,216763646,2 hours 12 minutes,Color,DTS,2.39 : 1,
My Neighbor Totoro,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_180,G,8.1,3700000,2250213,539245,9/30/2018,30695952,1 hours 26 minutes,Color,Dolby Stereo,,
Children of Heaven,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_181,PG,8.2,180000,933933,20100,1/24/1999,933933,1 hours 29 minutes,Color,Mono,1.85 : 1,
12 Years a Slave,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_182,R,8.1,20000000,56671993,923715,10/20/2013,187734091,2 hours 14 minutes,Color,Dolby Digital,2.35 : 1,
Ben-Hur,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_183,G,8.1,15000000,74432704,241792,4/14/2019,74439292,3 hours 32 minutes,Color,,2.75 : 1,
Blade Runner,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_184,R,8.1,28000000,32914489,6150002,6/27/1982,41757237,1 hours 57 minutes,Color,Dolby Atmos,2.39 : 1,
Before Sunrise,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_185,R,8.1,2500000,5535405,1423537,1/29/1995,5993086,1 hours 41 minutes,,Dolby SR,1.85 : 1,
Barry Lyndon,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_186,PG,8.1,11000000,,,,260131,3 hours 5 minutes,,Mono,1.66 : 1,
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_187,R,8.1,25000000,59301324,811166,3/9/2014,174567384,1 hours 39 minutes,Color,SDDS,,
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_188,R,8.1,150000000,154280290,45428128,5/17/2015,380418444,2 hours,Color,Dolby Digital,2.39 : 1,
Gone Girl,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_189,R,8.1,61000000,167767189,37513109,10/5/2014,370890259,2 hours 29 minutes,Color,Dolby Digital,2.39 : 1,
Hacksaw Ridge,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_190,R,8.1,40000000,67209615,15190758,11/6/2016,180563636,2 hours 19 minutes,Color,Dolby Atmos,2.35 : 1,
Dead Poets Society,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_191,PG,8.1,16400000,95860116,340456,6/4/1989,235860116,2 hours 8 minutes,Color,,1.85 : 1,
The Gold Rush,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_192,Approved,8.1,923000,,,,31490,1 hours 35 minutes,Black and White,Silent,1.33 : 1,
Memories of Murder,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_193,Not Rated,8.1,2800000,15357,4487,7/17/2005,1208481,2 hours 12 minutes,Color,Dolby Digital,1.85 : 1,
In the Name of the Father,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_194,R,8.1,13000000,25096862,109805,1/2/1994,65796862,2 hours 13 minutes,Color,Dolby Stereo,1.85 : 1,
Wild Tales,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_195,R,8.1,3300000,3106530,85100,2/22/2015,31478893,2 hours 2 minutes,Color,Dolby Surround 7.1,2.35 : 1,
Monsters Inc.,https://www.imdb.com/title/tt0198781/?ref_=chttp_t_196,G,8.1,115000000,290642256,62577067,11/4/2001,579723768,1 hours 32 minutes,Color,SDDS,1.85 : 1
The Deer Hunter,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_197,R,8.1,15000000,48979328,,,49080126,3 hours 3 minutes,Color,,2.39 : 1,
The General,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_198,Passed,8.1,750000,,,,612,1 hours 18 minutes,,Silent,1.33 : 1,
On the Waterfront,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_199,Approved,8.1,910000,,,,3350,1 hours 48 minutes,Black and White,,1.33 : 1,
Sherlock Jr.,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_200,Passed,8.2,,,,,399,45 minutes,Black and White,Silent,1.33 : 1,
How to Train Your Dragon,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_201,PG,8.1,165000000,217581231,43732319,3/28/2010,494879860,1 hours 38 minutes,Color,Dolby Digital,2.39 : 1,
